ID,FX,FY,FZ
556,400000,-400000,0
557,400000,-400000,0
558,400000,-400000,0
587,400000,-400000,0
588,400000,-400000,0
589,400000,-400000,0
590,400000,-400000,0
619,400000,-400000,0
620,400000,-400000,0
621,400000,-400000,0
622,400000,-400000,0
623,400000,-400000,0
651,400000,-400000,0
652,400000,-400000,0
653,400000,-400000,0
654,400000,-400000,0
655,400000,-400000,0
656,400000,-400000,0
657,400000,-400000,0
685,400000,-400000,0
686,400000,-400000,0
687,400000,-400000,0
688,400000,-400000,0
689,400000,-400000,0
690,400000,-400000,0
691,400000,-400000,0
692,400000,-400000,0
693,400000,-400000,0
720,400000,-400000,0
721,400000,-400000,0
722,400000,-400000,0
723,400000,-400000,0
724,400000,-400000,0
725,400000,-400000,0
726,400000,-400000,0
727,400000,-400000,0
728,400000,-400000,0
729,400000,-400000,0
730,400000,-400000,0
756,400000,-400000,0
757,400000,-400000,0
758,400000,-400000,0
759,400000,-400000,0
760,400000,-400000,0
761,400000,-400000,0
762,400000,-400000,0
763,400000,-400000,0
764,400000,-400000,0
765,400000,-400000,0
766,400000,-400000,0
767,400000,-400000,0
793,400000,-400000,0
794,400000,-400000,0
795,400000,-400000,0
796,400000,-400000,0
797,400000,-400000,0
798,400000,-400000,0
799,400000,-400000,0
800,400000,-400000,0
801,400000,-400000,0
802,400000,-400000,0
803,400000,-400000,0
804,400000,-400000,0
805,400000,-400000,0
806,400000,-400000,0
831,400000,-400000,0
832,400000,-400000,0
833,400000,-400000,0
834,400000,-400000,0
835,400000,-400000,0
836,400000,-400000,0
837,400000,-400000,0
838,400000,-400000,0
839,400000,-400000,0
840,400000,-400000,0
841,400000,-400000,0
842,400000,-400000,0
843,400000,-400000,0
844,400000,-400000,0
845,400000,-400000,0
174,400000,0,0
175,400000,0,0
176,400000,0,0
177,400000,0,0
178,400000,0,0
179,400000,0,0
180,400000,0,0
181,400000,0,0
201,400000,0,0
202,400000,0,0
203,400000,0,0
204,400000,0,0
205,400000,0,0
206,400000,0,0
207,400000,0,0
208,400000,0,0
209,400000,0,0
230,400000,0,0
231,400000,0,0
232,400000,0,0
233,400000,0,0
234,400000,0,0
235,400000,0,0
236,400000,0,0
237,400000,0,0
238,400000,0,0
239,400000,0,0
258,400000,0,0
259,400000,0,0
260,400000,0,0
261,400000,0,0
262,400000,0,0
263,400000,0,0
264,400000,0,0
265,400000,0,0
266,400000,0,0
267,400000,0,0
268,400000,0,0
287,400000,0,0
288,400000,0,0
289,400000,0,0
290,400000,0,0
291,400000,0,0
292,400000,0,0
293,400000,0,0
294,400000,0,0
295,400000,0,0
296,400000,0,0
297,400000,0,0
298,400000,0,0
317,400000,0,0
318,400000,0,0
319,400000,0,0
320,400000,0,0
321,400000,0,0
322,400000,0,0
323,400000,0,0
324,400000,0,0
325,400000,0,0
326,400000,0,0
327,400000,0,0
328,400000,0,0
329,400000,0,0
347,400000,0,0
348,400000,0,0
349,400000,0,0
350,400000,0,0
351,400000,0,0
352,400000,0,0
353,400000,0,0
354,400000,0,0
355,400000,0,0
356,400000,0,0
357,400000,0,0
358,400000,0,0
359,400000,0,0
377,400000,0,0
378,400000,0,0
379,400000,0,0
380,400000,0,0
381,400000,0,0
382,400000,0,0
383,400000,0,0
384,400000,0,0
385,400000,0,0
386,400000,0,0
387,400000,0,0
388,400000,0,0
389,400000,0,0
390,400000,0,0
407,400000,0,0
408,400000,0,0
409,400000,0,0
410,400000,0,0
411,400000,0,0
412,400000,0,0
413,400000,0,0
414,400000,0,0
415,400000,0,0
416,400000,0,0
417,400000,0,0
418,400000,0,0
419,400000,0,0
420,400000,0,0
436,400000,0,0
437,400000,0,0
438,400000,0,0
439,400000,0,0
440,400000,0,0
441,400000,0,0
442,400000,0,0
443,400000,0,0
444,400000,0,0
445,400000,0,0
446,400000,0,0
447,400000,0,0
448,400000,0,0
449,400000,0,0
466,400000,0,0
467,400000,0,0
468,400000,0,0
469,400000,0,0
470,400000,0,0
471,400000,0,0
472,400000,0,0
473,400000,0,0
474,400000,0,0
475,400000,0,0
476,400000,0,0
477,400000,0,0
478,400000,0,0
479,400000,0,0
496,400000,0,0
497,400000,0,0
498,400000,0,0
499,400000,0,0
500,400000,0,0
501,400000,0,0
502,400000,0,0
503,400000,0,0
504,400000,0,0
505,400000,0,0
506,400000,0,0
507,400000,0,0
508,400000,0,0
509,400000,0,0
527,400000,0,0
528,400000,0,0
529,400000,0,0
530,400000,0,0
531,400000,0,0
532,400000,0,0
533,400000,0,0
534,400000,0,0
535,400000,0,0
536,400000,0,0
537,400000,0,0
538,400000,0,0
539,400000,0,0
540,400000,0,0
559,400000,0,0
560,400000,0,0
561,400000,0,0
562,400000,0,0
563,400000,0,0
564,400000,0,0
565,400000,0,0
566,400000,0,0
567,400000,0,0
568,400000,0,0
569,400000,0,0
570,400000,0,0
571,400000,0,0
572,400000,0,0
591,400000,0,0
592,400000,0,0
593,400000,0,0
594,400000,0,0
595,400000,0,0
596,400000,0,0
597,400000,0,0
598,400000,0,0
599,400000,0,0
600,400000,0,0
601,400000,0,0
602,400000,0,0
603,400000,0,0
604,400000,0,0
624,400000,0,0
625,400000,0,0
626,400000,0,0
627,400000,0,0
628,400000,0,0
629,400000,0,0
630,400000,0,0
631,400000,0,0
632,400000,0,0
633,400000,0,0
634,400000,0,0
635,400000,0,0
636,400000,0,0
637,400000,0,0
658,400000,0,0
659,400000,0,0
660,400000,0,0
661,400000,0,0
662,400000,0,0
663,400000,0,0
664,400000,0,0
665,400000,0,0
666,400000,0,0
667,400000,0,0
668,400000,0,0
669,400000,0,0
670,400000,0,0
671,400000,0,0
694,400000,0,0
695,400000,0,0
696,400000,0,0
697,400000,0,0
698,400000,0,0
699,400000,0,0
700,400000,0,0
701,400000,0,0
702,400000,0,0
703,400000,0,0
704,400000,0,0
705,400000,0,0
706,400000,0,0
707,400000,0,0
731,400000,0,0
732,400000,0,0
733,400000,0,0
734,400000,0,0
735,400000,0,0
736,400000,0,0
737,400000,0,0
738,400000,0,0
739,400000,0,0
740,400000,0,0
741,400000,0,0
742,400000,0,0
743,400000,0,0
744,400000,0,0
768,400000,0,0
769,400000,0,0
770,400000,0,0
771,400000,0,0
772,400000,0,0
773,400000,0,0
774,400000,0,0
775,400000,0,0
776,400000,0,0
777,400000,0,0
778,400000,0,0
779,400000,0,0
780,400000,0,0
781,400000,0,0
807,400000,0,0
808,400000,0,0
809,400000,0,0
810,400000,0,0
811,400000,0,0
812,400000,0,0
813,400000,0,0
814,400000,0,0
815,400000,0,0
816,400000,0,0
817,400000,0,0
818,400000,0,0
819,400000,0,0
820,400000,0,0
846,400000,0,0
847,400000,0,0
848,400000,0,0
849,400000,0,0
850,400000,0,0
851,400000,0,0
852,400000,0,0
853,400000,0,0
854,400000,0,0
855,400000,0,0
856,400000,0,0
857,400000,0,0
858,400000,0,0
859,400000,0,0
885,400000,0,0
886,400000,0,0
887,400000,0,0
888,400000,0,0
889,400000,0,0
890,400000,0,0
891,400000,0,0
892,400000,0,0
893,400000,0,0
894,400000,0,0
895,400000,0,0
896,400000,0,0
897,400000,0,0
898,400000,0,0
924,400000,0,0
925,400000,0,0
926,400000,0,0
927,400000,0,0
928,400000,0,0
929,400000,0,0
930,400000,0,0
931,400000,0,0
932,400000,0,0
933,400000,0,0
934,400000,0,0
935,400000,0,0
936,400000,0,0
937,400000,0,0
963,400000,0,0
964,400000,0,0
965,400000,0,0
966,400000,0,0
967,400000,0,0
968,400000,0,0
969,400000,0,0
970,400000,0,0
971,400000,0,0
972,400000,0,0
973,400000,0,0
974,400000,0,0
975,400000,0,0
976,400000,0,0
1003,400000,0,0
1004,400000,0,0
1005,400000,0,0
1006,400000,0,0
1007,400000,0,0
1008,400000,0,0
1009,400000,0,0
1010,400000,0,0
1011,400000,0,0
1012,400000,0,0
1013,400000,0,0
1014,400000,0,0
1015,400000,0,0
1016,400000,0,0
1043,400000,0,0
1044,400000,0,0
1045,400000,0,0
1046,400000,0,0
1047,400000,0,0
1048,400000,0,0
1049,400000,0,0
1050,400000,0,0
1051,400000,0,0
1052,400000,0,0
1053,400000,0,0
1054,400000,0,0
1055,400000,0,0
1056,400000,0,0
1083,400000,0,0
1084,400000,0,0
1085,400000,0,0
1086,400000,0,0
1087,400000,0,0
1088,400000,0,0
1089,400000,0,0
1090,400000,0,0
1091,400000,0,0
1092,400000,0,0
1093,400000,0,0
1094,400000,0,0
1095,400000,0,0
1096,400000,0,0
1122,400000,0,0
1123,400000,0,0
1124,400000,0,0
1125,400000,0,0
1126,400000,0,0
1127,400000,0,0
1128,400000,0,0
1129,400000,0,0
1130,400000,0,0
1131,400000,0,0
1132,400000,0,0
1133,400000,0,0
1134,400000,0,0
1135,400000,0,0
1162,400000,0,0
1163,400000,0,0
1164,400000,0,0
1165,400000,0,0
1166,400000,0,0
1167,400000,0,0
1168,400000,0,0
1169,400000,0,0
1170,400000,0,0
1171,400000,0,0
1172,400000,0,0
1173,400000,0,0
1174,400000,0,0
1175,400000,0,0
1202,400000,0,0
1203,400000,0,0
1204,400000,0,0
1205,400000,0,0
1206,400000,0,0
1207,400000,0,0
1208,400000,0,0
1209,400000,0,0
1210,400000,0,0
1211,400000,0,0
1212,400000,0,0
1213,400000,0,0
1214,400000,0,0
1215,400000,0,0
1202,400000,0,0
1203,400000,0,0
1204,400000,0,0
1205,400000,0,0
1206,400000,0,0
1207,400000,0,0
1208,400000,0,0
1209,400000,0,0
1210,400000,0,0
1211,400000,0,0
1212,400000,0,0
1213,400000,0,0
1214,400000,0,0
1215,400000,0,0
1241,400000,0,0
1242,400000,0,0
1243,400000,0,0
1244,400000,0,0
1245,400000,0,0
1246,400000,0,0
1247,400000,0,0
1248,400000,0,0
1249,400000,0,0
1250,400000,0,0
1251,400000,0,0
1252,400000,0,0
1253,400000,0,0
1254,400000,0,0
1280,400000,0,0
1281,400000,0,0
1282,400000,0,0
1283,400000,0,0
1284,400000,0,0
1285,400000,0,0
1286,400000,0,0
1287,400000,0,0
1288,400000,0,0
1289,400000,0,0
1290,400000,0,0
1291,400000,0,0
1292,400000,0,0
1293,400000,0,0
1318,400000,0,0
1319,400000,0,0
1320,400000,0,0
1321,400000,0,0
1322,400000,0,0
1323,400000,0,0
1324,400000,0,0
1325,400000,0,0
1326,400000,0,0
1327,400000,0,0
1328,400000,0,0
1329,400000,0,0
1330,400000,0,0
1331,400000,0,0
1318,400000,0,0
1319,400000,0,0
1320,400000,0,0
1321,400000,0,0
1322,400000,0,0
1323,400000,0,0
1324,400000,0,0
1325,400000,0,0
1326,400000,0,0
1327,400000,0,0
1328,400000,0,0
1329,400000,0,0
1330,400000,0,0
1331,400000,0,0
1356,400000,0,0
1357,400000,0,0
1358,400000,0,0
1359,400000,0,0
1360,400000,0,0
1361,400000,0,0
1362,400000,0,0
1363,400000,0,0
1364,400000,0,0
1365,400000,0,0
1366,400000,0,0
1367,400000,0,0
1368,400000,0,0
1369,400000,0,0
1392,400000,0,0
1393,400000,0,0
1394,400000,0,0
1395,400000,0,0
1396,400000,0,0
1397,400000,0,0
1398,400000,0,0
1399,400000,0,0
1400,400000,0,0
1401,400000,0,0
1402,400000,0,0
1403,400000,0,0
1404,400000,0,0
1405,400000,0,0
1428,400000,0,0
1429,400000,0,0
1430,400000,0,0
1431,400000,0,0
1432,400000,0,0
1433,400000,0,0
1434,400000,0,0
1435,400000,0,0
1436,400000,0,0
1437,400000,0,0
1438,400000,0,0
1439,400000,0,0
1440,400000,0,0
1441,400000,0,0
1463,400000,0,0
1464,400000,0,0
1465,400000,0,0
1466,400000,0,0
1467,400000,0,0
1468,400000,0,0
1469,400000,0,0
1470,400000,0,0
1471,400000,0,0
1472,400000,0,0
1473,400000,0,0
1474,400000,0,0
1475,400000,0,0
1476,400000,0,0
